Stock_NO,종목명,상장주식수(주),Market
5930,삼성전자,"140,679,337",kospi
1360,삼성제약,"39,713,570",kospi
10140,삼성중공업,"390,000,000",kospi
16360,삼성증권,"76,435,165",kospi
68290,삼성출판사,"10,000,000",kospi
29780,삼성카드,"115,858,891",kospi
810,삼성화재,"47,374,837",kospi
6110,삼아알미늄,"11,000,000",kospi
145990,삼양사,"10,289,803",kospi
3230,삼양식품,"7,533,015",kospi
2170,삼양통상,"3,000,000",kospi
70,삼양홀딩스,"8,564,271",kospi
2810,삼영무역,"16,466,623",kospi
5680,삼영전자,"20,000,000",kospi
3720,삼영화학,"34,000,000",kospi
23000,삼원강재,"40,000,000",kospi
4380,삼익THK,"21,000,000",kospi
2450,삼익악기,"83,864,249",kospi
520,삼일제약,"5,500,000",kospi
9770,삼정펄프,"2,499,971",kospi
5500,삼진제약,"13,900,000",kospi
4690,삼천리,"4,055,025",kospi
1880,삼호,"15,179,766",kospi
10960,삼호개발,"25,000,000",kospi
4450,삼화왕관,"2,154,379",kospi
9470,삼화전기,"6,613,820",kospi
11230,삼화전자,"14,273,820",kospi
1820,삼화콘덴서,"10,395,000",kospi
390,삼화페인트,"25,388,674",kospi
41650,상신브레이크,"21,471,450",kospi
75180,새론오토모티브,"19,200,000",kospi
7540,샘표,"2,875,800",kospi
248170,샘표식품,"4,568,286",kospi
7860,서연,"23,479,844",kospi
200880,서연이화,"27,028,437",kospi
17390,서울가스,"5,000,000",kospi
4410,서울식품,"13,496,400",kospi
21050,서원,"47,474,590",kospi
8490,서흥,"11,569,113",kospi
7610,선도전기,"18,000,000",kospi
136490,선진,"8,140,000",kospi
2820,선창산업,"12,607,989",kospi
14910,성문전자,"16,554,309",kospi
3080,성보화학,"20,020,000",kospi
4980,성신양회,"24,008,482",kospi
11300,성안,"56,857,860",kospi
5980,성지건설,"97,481,640",kospi
180,성창기업지주,"69,751,600",kospi
2420,세기상사,"407,592",kospi
4360,세방,"19,308,690",kospi
4490,세방전지,"14,000,000",kospi
1430,세아베스틸,"35,862,119",kospi
3030,세아제강,"6,000,000",kospi
19440,세아특수강,"8,570,000",kospi
58650,세아홀딩스,"4,000,000",kospi
13000,세우글로벌,"23,690,705",kospi
91090,세원셀론텍,"60,593,178",kospi
21820,세원정공,"10,000,000",kospi
67830,세이브존I&C,"41,040,895",kospi
33530,세종공업,"20,054,430",kospi
75580,세진중공업,"38,372,720",kospi
27970,세하,"23,499,013",kospi
145210,세화아이엠씨,"11,882,640",kospi
4430,송원산업,"24,000,000",kospi
17550,수산중공업,"53,985,163",kospi
2200,수출포장,"4,000,000",kospi
